Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (â‚¹ Cr)
2023-01-18,18074.3,18183.75,18032.45,18165.35,255840928,20500.07
2023-01-19,18119.8,18155.2,18063.75,18107.85,237833991,18413.13
2023-01-20,18115.6,18145.45,18016.2,18027.65,237225269,19519.96
2023-01-23,18118.45,18162.6,18063.45,18118.55,202460434,17060.12
2023-01-24,18183.95,18201.25,18078.65,18118.3,216910302,19705.91
2023-01-25,18093.35,18100.6,17846.15,17891.95,257227052,20890.56
2023-01-27,17877.2,17884.75,17493.55,17604.35,476342611,40104.83
2023-01-30,17541.95,17709.15,17405.55,17648.95,432434028,38159.88
2023-01-31,17731.45,17735.7,17537.55,17662.15,398338541,35023.7
2023-02-01,17811.6,17972.2,17353.4,17616.3,512870802,38486.19
2023-02-02,17517.1,17653.9,17445.95,17610.4,490113567,37639.96
2023-02-03,17721.75,17870.3,17584.2,17854.05,424123037,34503.67
2023-02-06,17818.55,17823.7,17698.35,17764.6,282544790,21864.88
2023-02-07,17790.1,17811.15,17652.55,17721.5,354395693,23611.08
2023-02-08,17750.3,17898.7,17744.15,17871.7,290994265,23733.4
2023-02-09,17885.5,17916.9,17779.8,17893.45,260854055,21529.97
2023-02-10,17847.55,17876.95,17801.0,17856.5,231991834,17063.99
2023-02-13,17859.1,17880.7,17719.75,17770.9,231276483,17406.31
2023-02-14,17840.35,17954.55,17800.05,17929.85,244512944,20579.8
2023-02-15,17896.6,18034.1,17853.8,18015.85,229273800,21457.34
2023-02-16,18094.75,18134.75,18000.65,18035.85,230246175,18891.55
2023-02-17,17974.85,18034.25,17884.6,17944.2,208053929,16998.33
2023-02-20,17965.55,18004.35,17818.4,17844.6,174563233,14729.07
2023-02-21,17905.8,17924.9,17800.3,17826.7,198248205,15593.09
2023-02-22,17755.35,17772.5,17529.45,17554.3,204021979,17162.09
2023-02-23,17574.65,17620.05,17455.4,17511.25,240807918,19313.68
2023-02-24,17591.35,17599.75,17421.8,17465.8,209406363,16100.18
2023-02-27,17428.6,17451.6,17299.0,17392.7,246448847,16638.41
2023-02-28,17383.25,17440.45,17255.2,17303.95,420881259,32959.77
2023-03-01,17360.1,17467.75,17345.25,17450.9,272881409,19784.53
2023-03-02,17421.5,17445.8,17306.0,17321.9,310669094,22068.68
2023-03-03,17451.25,17644.75,17427.7,17594.35,356169518,24143.96
2023-03-06,17680.35,17799.95,17671.95,17711.45,362801096,26959.41
2023-03-08,17665.75,17766.5,17602.25,17754.4,267041402,23155.56
2023-03-09,17772.05,17772.35,17573.6,17589.6,262352056,21964.17
2023-03-10,17443.8,17451.5,17324.35,17412.9,235927570,19794.73
2023-03-13,17421.9,17529.9,17113.45,17154.3,254914657,22860.67
2023-03-14,17160.55,17224.65,16987.1,17043.3,290604200,26057.6
2023-03-15,17166.45,17211.35,16938.9,16972.15,248188970,22659.09
2023-03-16,16994.65,17062.45,16850.15,16985.6,349820607,24198.71
2023-03-17,17111.8,17145.8,16958.15,17100.05,408121255,30478.42
